================================================================================
PROFILE REPORT - CPU TIME
================================================================================

-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
            aten::bitwise_or_         0.24%       1.935ms         0.64%       5.229ms      11.750us           0 b           0 b           445  
                 aten::select         0.07%     582.311us         0.09%     769.768us       1.362us           0 b           0 b           565  
             bot_select_moves         0.19%       1.526ms         6.58%      53.864ms       2.693ms           0 b           0 b            20  
                   aten::full         0.01%      69.341us         0.35%       2.857ms      73.266us           0 b           0 b            39  
                  aten::empty         0.11%     890.271us         0.11%     890.271us       0.427us           0 b           0 b          2086  
                  aten::fill_         0.61%       4.971ms         0.61%       4.971ms      31.866us           0 b           0 b           156  
                aten::nonzero        22.45%     183.801ms        34.14%     279.524ms     749.393us           0 b           0 b           373  
          aten::count_nonzero         4.25%      34.824ms         4.28%      35.073ms      94.029us           0 b           0 b           373  
                aten::resize_         0.03%     232.726us         0.03%     232.726us       0.565us           0 b           0 b           412  
                    aten::sum         0.18%       1.510ms         0.18%       1.510ms      25.166us           0 b           0 b            60  
                  aten::clamp         0.05%     405.573us         0.05%     406.655us      20.333us           0 b           0 b            20  
                    aten::div         0.12%     945.112us         0.12%     945.112us      23.628us           0 b           0 b            40  
                    aten::max         2.62%      21.414ms         2.62%      21.448ms     549.944us           0 b           0 b            39  
                    aten::min         2.63%      21.561ms         2.64%      21.581ms     553.355us           0 b           0 b            39  
           aten::exponential_         0.10%     845.447us         0.10%     845.447us      42.272us           0 b           0 b            20  
                 aten::argmax         0.07%     556.786us         0.07%     556.786us      27.839us           0 b           0 b            20  
                aten::squeeze         0.01%      98.957us         0.02%     132.954us       1.821us           0 b           0 b            73  
           aten::floor_divide         0.06%     456.502us         0.06%     480.584us      24.029us           0 b           0 b            20  
              aten::remainder         0.06%     463.531us         0.06%     471.401us      23.570us           0 b           0 b            20  
                  aten::stack         0.01%      52.249us         0.08%     656.244us      32.812us           0 b           0 b            20  
              aten::unsqueeze         0.01%      67.335us         0.01%      94.751us       1.199us           0 b           0 b            79  
                    aten::cat         0.07%     567.703us         0.07%     567.703us      28.385us           0 b           0 b            20  
             aten::index_put_         0.02%     162.119us         7.80%      63.889ms     251.531us           0 b           0 b           254  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 818.668ms
